Date,module,covered,total,coverage
2024-02-02,m1,87,9,90.62
2024-02-02,m2,134,13,91.16
2024-02-02,m3,146,22,86.9
2024-02-02,m4,147,28,84.0
2024-02-02,m5,76,25,75.25
2024-02-02,m6,137,8,94.48
2024-02-02,m7,97,8,92.38
2024-02-02,m8,111,28,79.86
2024-02-02,m9,98,13,88.29
2024-02-02,m10,125,14,89.93
2024-02-02,m11,155,20,88.57
2024-02-28,m1,160,14,91.95
2024-02-28,m2,108,19,85.04
2024-02-28,m3,82,13,86.32
2024-02-28,m4,126,15,89.36
2024-02-28,m5,74,9,89.16
2024-02-28,m6,89,20,81.65
2024-02-28,m7,147,12,92.45
